keyword,tags,priority,intent,why_track
"abogado san felipe","local|commercial|brand","P1","transactional","Termino local base con volumen y KD baja"
"consulta virtual abogado san felipe","local|commercial|virtual","P1","transactional","Brecha clara de conversion sugerida por el analisis"
"abogado familia san felipe","family|local|commercial","P1","transactional","Servicio principal con alta intencion"
"abogado divorcio san felipe","family|divorce|local|commercial","P1","transactional","Landing prioritaria de negocio"
"pension de alimentos san felipe","family|local|commercial","P1","transactional","Termino comercial prioritario para familia"
"cuidado personal san felipe","family|local|commercial","P2","transactional","Complementa cluster de familia"
"mediacion familiar san felipe","family|mediation|local|commercial","P1","transactional","Tiene volumen local real en Semrush"
"abogado inmobiliario san felipe","real-estate|local|commercial","P1","transactional","Servicio eje del posicionamiento"
"regularizacion de titulos san felipe","real-estate|local|commercial","P1","transactional","Servicio prioritario del frente inmobiliario"
"estudio de titulos san felipe","real-estate|local|commercial","P1","transactional","Alta intencion para compraventa"
"compraventa de propiedades san felipe","real-estate|local|commercial","P1","transactional","Cluster comercial directo"
"posesion efectiva san felipe","inheritance|local|commercial","P1","transactional","Servicio con intencion clara"
"herencia san felipe","inheritance|local|commercial","P2","transactional","Complementa cluster sucesorio"
"conservador san felipe","real-estate|local|informational","P1","informational","Ya tiene senal real en organic research"
"nueva ley de herencia en chile","inheritance|blog|informational","P1","informational","Principal driver organico actual"
"herencia en chile","inheritance|blog|informational","P1","informational","Segundo termino mas relevante del cluster"
"ley de divorcio en chile","divorce|blog|informational","P1","informational","Keyword con volumen util y fit editorial"
"divorcio en chile","divorce|blog|informational","P2","informational","Termino amplio del cluster divorcio"
"custodia de niños","family|custody|blog|informational","P1","informational","Ya rankea y trae senales"
"como obtener la custodia completa de mi hijo en chile","family|custody|blog|informational","P1","informational","Keyword long-tail ya posicionada"
"custodia compartida chile","family|custody|blog|informational","P2","informational","Amplia cluster de custodia"
"como pedir custodia de un hijo en chile","family|custody|blog|informational","P2","informational","Long-tail accionable"
"proceso de adopcion chile","adoption|blog|informational","P2","informational","Cluster con fit al servicio de adopciones"
"sename adopcion","adoption|service|informational","P3","informational","Ya aparece asociado al servicio"
"regularizacion de propiedades en chile","real-estate|blog|informational","P2","informational","Soporta cluster inmobiliario"
"compra y venta de propiedades en chile","real-estate|blog|informational","P2","informational","Soporta cluster compraventa"
